Time(kyr)	d18O(permille)	Stderror(permille)
23280.912	2.2367	0.22
23283.618	2.2857	0.22
23286.324	2.4067	0.22
23289.03	2.215	0.22
23291.736	2.0717	0.22
23294.442	2.187	0.22
23299.855	2.42	0.22
23302.561	2.592	0.22
23305.267	2.2347	0.22
23307.973	2.513	0.22
23310.679	2.348	0.22
23318.798	2.4897	0.22
23321.504	2.439	0.22
23324.21	2.326	0.22
23326.917	2.3557	0.22
23328.923	2.3122	0.22
23330.464	2.5057	0.22
23332.005	2.3717	0.22
23333.546	2.4007	0.22
23335.086	2.4751	0.22
23336.627	2.3897	0.22
23338.168	2.4057	0.22
23339.708	2.3144	0.22
23341.249	2.3682	0.22
23345.871	2.5546	0.22
23347.412	2.512	0.22
23348.953	2.5624	0.22
23350.493	2.5878	0.22
23352.034	2.0922	0.22
23353.575	2.3767	0.22
23355.116	2.3071	0.22
23356.656	2.4035	0.22
23359.738	2.3273	0.22
23361.278	2.2027	0.22
23362.819	2.2311	0.22
23364.36	2.2845	0.22
23365.901	2.2769	0.22
23367.441	2.2703	0.22
23368.982	2.2403	0.22
