Age,d18O
288.5634843,4.1682075
289.3864246,4.1256165
290.2093649,4.077464
291.0323052,4.0316875
291.8552456,4.0032855
292.6781859,3.9806845
293.5011262,3.9507885
294.3240665,3.915064
295.1470068,3.888136
295.9699471,3.8710295
296.7928875,3.850646
297.6158278,3.8145855
298.4387681,3.7653985
299.2617084,3.712936
300.0846487,3.6677585
300.9075891,3.6318505
302.3226818,3.604376
303.7377745,3.581974
305.1528672,3.5637105
306.56796,3.5483205
307.9830527,3.536315
309.3981454,3.527316
310.8132382,3.5174165
312.2283309,3.501393
313.6434236,3.478983
315.0585163,3.41543
316.4736091,3.340887
317.8887018,3.260138
319.3037945,3.185568
320.7188873,3.138876
322.13398,3.107649
323.5490727,3.084005
324.9641654,3.078237
326.3792582,3.085746
327.7943509,3.118963
329.2094436,3.202992
330.6245364,3.344992
332.0396291,3.519689
333.4547218,3.691798
334.8698145,3.851579
336.2849073,3.998062
337.7,4.140265
338.3840303,4.281601
339.0680605,4.42526
339.7520908,4.558393
340.436121,4.650659
341.1201513,4.686049
341.8041815,4.671175
342.4882118,4.627028
343.172242,4.57489
343.8562723,4.533273
344.5403025,4.502756
345.2243328,4.475532
345.908363,4.429634
346.5923933,4.377823
347.2764235,4.338971
347.9604538,4.325403
348.644484,4.333757
349.3285143,4.3511
350.0125445,4.361069
350.6965748,4.370712
351.380605,4.376064
352.0646353,4.375008
352.7486655,4.371601
353.4326958,4.365433
354.116726,4.35227
354.8007563,4.326321
355.4847865,4.302366
356.6119895,4.27862
357.7391925,4.247404
358.8663955,4.211236
359.9935985,4.167854
361.1208015,4.126689
362.2480045,4.102148
363.3752074,4.09913
364.5024104,4.110681
365.6296134,4.105864
366.7568164,4.095328
367.8840194,4.083555
369.0112224,4.070898
370.1384253,4.053812
371.2656283,4.02675
372.3928313,3.994304
373.5200343,3.958655
374.6472373,3.925797
375.7744403,3.905498
376.9016433,3.906857
378.0288462,3.89935
379.1560492,3.870419
380.2832522,3.83823
381.4104552,3.813896
382.5376582,3.782214
383.6648612,3.749202
384.7920642,3.752366
385.9192671,3.778894
387.0464701,3.759454
388.1736731,3.704793
389.3008761,3.622978
390.4280791,3.54781
391.5552821,3.487806
392.6824851,3.435456
393.809688,3.376022
394.936891,3.314333
396.064094,3.254756
397.191297,3.180252
398.3185,3.110475
399.445703,3.071227
400.5729059,3.05714
401.7001089,3.04891
402.8273119,3.060163
403.9545149,3.094412
405.0817179,3.11591
406.2089209,3.124656
407.3361239,3.145435
408.4633268,3.178206
409.5905298,3.234924
410.7177328,3.300166
411.8449358,3.365509
412.9721388,3.423215
414.0993418,3.479112
415.2014293,3.535849
416.3035169,3.585804
417.4056045,3.623764
418.5076921,3.660626
419.6097796,3.710409
420.7118672,3.777956
421.8139548,3.866326
