age(kyr) mean(permil) sigma(permil)
36720.000000 0.893725 0.138052
36723.000000 0.898493 0.138172
36726.000000 0.902952 0.138261
36729.000000 0.906734 0.138321
36732.000000 0.909824 0.138421
36735.000000 0.912439 0.138432
36738.000000 0.914350 0.138577
36741.000000 0.915629 0.138750
36744.000000 0.915796 0.138936
36747.000000 0.914934 0.138997
36750.000000 0.913321 0.138895
36753.000000 0.912160 0.138914
36756.000000 0.912106 0.138897
36759.000000 0.913515 0.138876
36762.000000 0.916549 0.138875
36765.000000 0.920781 0.138972
36768.000000 0.925115 0.139036
36771.000000 0.929237 0.139054
36774.000000 0.932263 0.139080
36777.000000 0.933787 0.139208
36780.000000 0.933691 0.139436
36783.000000 0.931866 0.139756
36786.000000 0.928388 0.140185
36789.000000 0.923533 0.140730
36792.000000 0.917495 0.141340
36795.000000 0.910542 0.141849
36798.000000 0.903067 0.142479
36801.000000 0.895106 0.143015
36804.000000 0.886947 0.143286
36807.000000 0.879008 0.143362
36810.000000 0.871739 0.143402
36813.000000 0.865357 0.143299
36816.000000 0.859788 0.143132
36819.000000 0.855339 0.142990
36822.000000 0.852009 0.142881
36825.000000 0.850203 0.142777
36828.000000 0.850234 0.142877
36831.000000 0.851255 0.143043
36834.000000 0.853662 0.143367
36837.000000 0.857652 0.143582
36840.000000 0.862806 0.143775
36843.000000 0.868575 0.143872
36846.000000 0.874823 0.143821
36849.000000 0.880881 0.143668
36852.000000 0.886586 0.143452
36855.000000 0.891405 0.143199
36858.000000 0.895328 0.143069
36861.000000 0.898337 0.142991
36864.000000 0.900892 0.143058
36867.000000 0.903292 0.143251
36870.000000 0.905684 0.143471
36873.000000 0.907834 0.143722
36876.000000 0.909775 0.144002
36879.000000 0.911828 0.144157
36882.000000 0.913621 0.144422
36885.000000 0.915024 0.144587
36888.000000 0.915994 0.144758
36891.000000 0.916219 0.144884
36894.000000 0.915097 0.144988
36897.000000 0.912935 0.145052
36900.000000 0.910406 0.145115
36903.000000 0.907222 0.145181
36906.000000 0.903902 0.145055
36909.000000 0.900618 0.144874
36912.000000 0.898015 0.144751
36915.000000 0.895812 0.144528
36918.000000 0.894397 0.144303
36921.000000 0.894321 0.144291
36924.000000 0.895069 0.144282
36927.000000 0.896401 0.144400
36930.000000 0.898215 0.144466
36933.000000 0.900371 0.144482
36936.000000 0.902702 0.144615
36939.000000 0.905127 0.144610
36942.000000 0.907496 0.144608
36945.000000 0.909735 0.144539
36948.000000 0.911908 0.144460
36951.000000 0.913996 0.144329
36954.000000 0.915931 0.144124
36957.000000 0.917925 0.143790
36960.000000 0.920030 0.143556
36963.000000 0.922560 0.143352
36966.000000 0.925829 0.143277
36969.000000 0.929806 0.143310
36972.000000 0.934426 0.143536
36975.000000 0.940123 0.143839
36978.000000 0.947524 0.144233
36981.000000 0.954852 0.144445
36984.000000 0.961270 0.144499
36987.000000 0.966425 0.144328
36990.000000 0.969748 0.144122
36993.000000 0.971412 0.143927
36996.000000 0.971019 0.143978
36999.000000 0.968015 0.144057
37002.000000 0.963471 0.144146
37005.000000 0.957833 0.144091
37008.000000 0.952348 0.143922
37011.000000 0.948310 0.143730
37014.000000 0.945796 0.143547
37017.000000 0.944949 0.143473
37020.000000 0.944683 0.143471
37023.000000 0.944554 0.143529
37026.000000 0.943005 0.143716
37029.000000 0.939115 0.144106
37032.000000 0.932164 0.144722
37035.000000 0.922622 0.145347
37038.000000 0.911258 0.145802
37041.000000 0.897998 0.146060
37044.000000 0.883215 0.146055
37047.000000 0.867643 0.145787
37050.000000 0.852002 0.145636
37053.000000 0.836997 0.145393
37056.000000 0.823395 0.145234
37059.000000 0.809541 0.145244
37062.000000 0.795024 0.145431
37065.000000 0.780908 0.145620
37068.000000 0.767120 0.145614
37071.000000 0.753820 0.145322
37074.000000 0.741318 0.144842
37077.000000 0.729840 0.144160
37080.000000 0.720072 0.143630
37083.000000 0.711968 0.143205
37086.000000 0.705028 0.142785
37089.000000 0.699174 0.142365
37092.000000 0.694374 0.141982
37095.000000 0.690746 0.141693
37098.000000 0.688249 0.141398
37101.000000 0.686813 0.141074
37104.000000 0.686206 0.140758
37107.000000 0.685648 0.140446
37110.000000 0.685721 0.140320
37113.000000 0.685171 0.140236
37116.000000 0.682897 0.140270
37119.000000 0.677568 0.140290
37122.000000 0.669621 0.140267
37125.000000 0.661011 0.140090
37128.000000 0.652963 0.139836
37131.000000 0.645923 0.139674
37134.000000 0.639874 0.139503
37137.000000 0.634504 0.139334
37140.000000 0.630291 0.139251
37143.000000 0.626687 0.139188
37146.000000 0.623380 0.139080
37149.000000 0.619771 0.138806
37152.000000 0.616122 0.138571
37155.000000 0.612677 0.138333
37158.000000 0.609785 0.137968
37161.000000 0.607845 0.137587
37164.000000 0.607303 0.137309
37167.000000 0.608372 0.137300
37170.000000 0.611453 0.137518
37173.000000 0.616462 0.137864
37176.000000 0.624566 0.138445
37179.000000 0.634702 0.138865
37182.000000 0.647504 0.138848
37185.000000 0.660990 0.138407
37188.000000 0.674744 0.137562
37191.000000 0.687726 0.136635
37194.000000 0.699671 0.135495
37197.000000 0.709925 0.134442
37200.000000 0.717795 0.133497
37203.000000 0.722909 0.132702
37206.000000 0.726052 0.132168
37209.000000 0.728611 0.131907
37212.000000 0.732813 0.131913
37215.000000 0.738375 0.132166
37218.000000 0.744980 0.132419
37221.000000 0.751368 0.132316
37224.000000 0.758140 0.131892
37227.000000 0.764068 0.131395
37230.000000 0.766673 0.131345
37233.000000 0.765853 0.131468
37236.000000 0.761112 0.131475
37239.000000 0.754385 0.131119
37242.000000 0.747042 0.130554
37245.000000 0.740325 0.129772
37248.000000 0.735902 0.129160
37251.000000 0.733288 0.128560
37254.000000 0.732599 0.128068
37257.000000 0.733452 0.127586
37260.000000 0.734641 0.127143
37263.000000 0.735743 0.126753
37266.000000 0.735726 0.126388
37269.000000 0.734541 0.126105
37272.000000 0.731568 0.125934
37275.000000 0.726897 0.125980
37278.000000 0.720794 0.126086
37281.000000 0.713323 0.126188
37284.000000 0.705074 0.126160
37287.000000 0.696804 0.126000
37290.000000 0.688797 0.125618
37293.000000 0.681818 0.125080
37296.000000 0.676347 0.124501
37299.000000 0.672740 0.124019
37302.000000 0.671398 0.123751
37305.000000 0.672942 0.123793
