age(kyr)	mean(permil)	
669	4.327374714	0.26
670	4.317268482	0.26
671	4.304020435	0.26
672	4.291540411	0.26
673	4.283798901	0.26
674	4.276916896	0.26
675	4.268998484	0.26
676	4.257861301	0.26
677	4.243639306	0.26
678	4.227605793	0.26
679	4.208256199	0.26
680	4.186128076	0.26
681	4.159036401	0.26
682	4.1301985	0.26
683	4.101034148	0.26
684	4.071299325	0.26
685	4.041808843	0.26
686	4.009242518	0.26
687	3.955963448	0.26
688	3.857843839	0.26
689	3.797403149	0.26
690	3.765640783	0.26
691	3.729439665	0.26
692	3.694257738	0.26
693	3.661400531	0.26
694	3.634162589	0.26
695	3.611154241	0.26
696	3.589541537	0.26
697	3.572264675	0.26
698	3.562493602	0.26
699	3.558598691	0.26
700	3.556205565	0.26
701	3.515361005	0.26
702	3.517517864	0.26
703	3.529226251	0.26
704	3.550903068	0.26
705	3.579585099	0.26
706	3.603558356	0.26
707	3.613000556	0.26
708	3.608353948	0.26
709	3.60488844	0.26
710	3.612136052	0.26
711	3.627423424	0.26
712	3.648706887	0.26
713	3.66927267	0.26
714	3.686881466	0.26
715	3.704712461	0.26
716	3.726605864	0.26
717	3.752310996	0.26
718	3.780926283	0.26
719	3.811959539	0.26
720	3.845594806	0.26
721	3.886005613	0.26
722	3.938823973	0.26
723	4.00190445	0.26
724	4.061658356	0.26
725	4.104639257	0.26
726	4.129925597	0.26
727	4.144205979	0.26
728	4.225810419	0.26
729	4.389238136	0.26
730	4.331038094	0.26
731	4.270678585	0.26
732	4.207532974	0.26
733	4.14220288	0.26
734	4.081759738	0.26
735	4.027747319	0.26
736	3.978806457	0.26
737	3.944768377	0.26
738	3.93056	0.26
739	3.931671414	0.26
740	3.937006073	0.26
741	3.952940178	0.26
742	3.98320799	0.26
743	4.015282	0.26
744	4.048043874	0.26
745	4.073736	0.26
746	4.079469853	0.26
747	4.082467654	0.26
748	4.105872492	0.26
749	4.165701099	0.26
750	4.260530534	0.26
751	4.358747673	0.26
752	4.416766073	0.26
753	4.421369016	0.26
754	4.39195201	0.26
755	4.355898555	0.26
756	4.328759036	0.26
757	4.308192869	0.26
758	4.294986869	0.26
759	4.275407351	0.26
760	4.232932921	0.26
761	4.174901405	0.26
762	4.114326126	0.26
763	4.061669319	0.26
764	4.01498356	0.26
765	3.968213508	0.26
766	3.925587592	0.26
767	3.899203089	0.26
768	3.886082	0.26
769	3.878146963	0.26
770	3.872809371	0.26
771	3.877754649	0.26
772	3.875823026	0.26
773	3.838818649	0.26
774	3.772683696	0.26
775	3.701455157	0.26
776	3.642130314	0.26
777	3.593251634	0.26
778	3.548161958	0.26
779	3.502991927	0.26
780	3.460917317	0.26
781	3.437092209	0.26
782	3.42663533	0.26
783	3.412728293	0.26
784	3.396214262	0.26
785	3.381930943	0.26
786	3.376973298	0.26
787	3.38535	0.26
788	3.403529791	0.26
789	3.444713774	0.26
790	3.517088178	0.26
791	3.614800283	0.26
792	3.729189602	0.26
793	3.844810817	0.26
794	3.953764717	0.26
795	4.067847309	0.26
796	4.201204513	0.26
797	4.337992702	0.26
798	4.436676429	0.26
799	4.482933585	0.26
800	4.497283414	0.26
801	4.493296052	0.26
802	4.472608492	0.26
803	4.43786244	0.26
804	4.401268616	0.26
805	4.374357686	0.26
806	4.355937686	0.26
807	4.335972283	0.26
808	4.304144702	0.26
809	4.266991675	0.26
810	4.228023351	0.26
811	4.179649215	0.26
812	4.142420419	0.26
813	4.109104067	0.26
814	4.064181162	0.26
815	4.009851592	0.26
816	3.959118314	0.26
817	3.913970524	0.26
818	3.864576352	0.26
819	3.807082408	0.26
820	3.751675812	0.26
821	3.709499414	0.26
822	3.676085696	0.26
823	3.646609308	0.26
824	3.624287518	0.26
825	3.622705864	0.26
826	3.653239476	0.26
827	3.705212188	0.26
828	3.777141635	0.26
829	3.847972859	0.26
830	3.876128576	0.26
831	3.86473666	0.26
832	3.837479822	0.26
833	3.810100608	0.26
834	3.787110157	0.26
835	3.765506387	0.26
836	3.74158178	0.26
837	3.720125236	0.26
838	3.707068459	0.26
839	3.707526723	0.26
840	3.723461613	0.26
841	3.744285016	0.26
842	3.74120045	0.26
843	3.715013585	0.26
844	3.692172555	0.26
845	3.67432133	0.26
846	3.647992429	0.26
847	3.609340597	0.26
848	3.570255409	0.26
849	3.544472283	0.26
850	3.520909812	0.26
851	3.47945112	0.26
852	3.434629025	0.26
853	3.408975288	0.26
854	3.41687288	0.26
855	3.454754859	0.26
856	3.501010209	0.26
857	3.53488522	0.26
858	3.544772251	0.26
859	3.526017801	0.26
860	3.492505026	0.26
861	3.457697068	0.26
862	3.421949119	0.26
863	3.385487215	0.26
864	3.350195738	0.26
865	3.325587623	0.26
866	3.323928147	0.26
867	3.343405021	0.26
868	3.378307288	0.26
869	3.433554471	0.26
870	3.519210524	0.26
871	3.644312262	0.26
872	3.811850932	0.26
873	3.993060398	0.26
874	4.151370471	0.26
875	4.281960461	0.26
876	4.393393323	0.26
877	4.482611969	0.26
878	4.541928136	0.26
879	4.568798115	0.26
880	4.564110283	0.26
881	4.539109654	0.26
882	4.505238953	0.26
883	4.464869948	0.26
884	4.425341204	0.26
885	4.395428534	0.26
886	4.3749163	0.26
887	4.357514545	0.26
888	4.339073644	0.26
889	4.324685487	0.26
890	4.319403602	0.26
891	4.319052348	0.26
892	4.311129539	0.26
893	4.294666209	0.26
894	4.271818272	0.26
895	4.244235021	0.26
896	4.209988702	0.26
897	4.16599756	0.26
898	4.117400366	0.26
899	4.073923843	0.26
900	4.029853208	0.26
901	3.982669497	0.26
902	3.944224848	0.26
903	3.922407026	0.26
904	3.911818545	0.26
905	3.907202379	0.26
906	3.909259529	0.26
907	3.917644869	0.26
908	3.921552356	0.26
909	3.913150471	0.26
910	3.898244319	0.26
911	3.885782031	0.26
912	3.881962597	0.26
913	3.885887267	0.26
914	3.902265948	0.26
915	3.932396017	0.26
916	3.98921799	0.26
917	4.075170272	0.26
918	4.178512513	0.26
919	4.276511435	0.26
920	4.348727987	0.26
921	4.37982001	0.26
922	4.366910963	0.26
923	4.312438272	0.26
924	4.244202942	0.26
925	4.17813805	0.26
926	4.121791267	0.26
927	4.080703162	0.26
928	4.035887204	0.26
929	3.987583801	0.26
930	3.94097673	0.26
931	3.887887749	0.26
932	3.83494534	0.26
933	3.79849445	0.26
934	3.764010942	0.26
935	3.725524921	0.26
936	3.673086597	0.26
937	3.625035079	0.26
938	3.605872785	0.26
939	3.590000189	0.26
940	3.567816953	0.26
941	3.533276366	0.26
942	3.486674209	0.26
943	3.437479738	0.26
944	3.393954361	0.26
945	3.358469298	0.26
946	3.329340565	0.26
947	3.301179225	0.26
948	3.272531089	0.26
949	3.251462788	0.26
950	3.240115152	0.26
951	3.226419508	0.26
952	3.207616408	0.26
953	3.193937571	0.26
954	3.193971698	0.26
955	3.195360157	0.26
956	3.19386	0.26
957	3.202514971	0.26
958	3.254000662	0.26
959	3.375506511	0.26
960	3.555938626	0.26
961	3.7460226	0.26
962	3.912075029	0.26
963	4.045292476	0.26
964	4.143972113	0.26
965	4.209957924	0.26
966	4.247655468	0.26
967	4.257632992	0.26
968	4.238664615	0.26
969	4.1968	0.26
970	4.146044522	0.26
971	4.085430769	0.26
972	4.01624191	0.26
973	3.944402339	0.26
974	3.875666923	0.26
975	3.818890273	0.26
976	3.777384425	0.26
977	3.74504	0.26
978	3.715685088	0.26
979	3.686893674	0.26
980	3.657952308	0.26
981	3.632274347	0.26
982	3.617356667	0.26
983	3.621331538	0.26
984	3.656732904	0.26
985	3.727215185	0.26
986	3.813610117	0.26
987	3.884795239	0.26
988	3.931032066	0.26
989	3.965783684	0.26
990	3.997643223	0.26
991	4.012785205	0.26
992	4.000724444	0.26
993	3.968048715	0.26
994	3.927278596	0.26
995	3.88684	0.26
996	3.845923821	0.26
997	3.813240565	0.26
998	3.783949932	0.26
999	3.757458041	0.26
1000	3.726103659	0.26
1001	3.689971165	0.26
1002	3.662052353	0.26
1003	3.651048641	0.26
1004	3.657117573	0.26
1005	3.675216275	0.26
1006	3.708801845	0.26
1007	3.783653495	0.26
1008	3.902996667	0.26
1009	4.018807476	0.26
1010	4.088277353	0.26
1011	4.108290583	0.26
1012	4.093261456	0.26
1013	4.057898725	0.26
1014	4.02041835	0.26
1015	3.987408641	0.26
1016	3.953851569	0.26
1017	3.918165922	0.26
1018	3.883545534	0.26
1019	3.846443824	0.26
1020	3.798971359	0.26
1021	3.75035	0.26
1022	3.712253301	0.26
1023	3.689975243	0.26
1024	3.689717843	0.26
1025	3.70098767	0.26
1026	3.679565825	0.26
1027	3.632238824	0.26
1028	3.576852233	0.26
1029	3.524249412	0.26
1030	3.492402621	0.26
1031	3.498545146	0.26
1032	3.533205882	0.26
1033	3.567137961	0.26
1034	3.59507	0.26
1035	3.62822534	0.26
1036	3.678632941	0.26
1037	3.751922718	0.26
1038	3.856811262	0.26
1039	3.983135882	0.26
1040	4.090846796	0.26
1041	4.15574	0.26
1042	4.195763107	0.26
1043	4.225942524	0.26
1044	4.236041176	0.26
1045	4.229024369	0.26
1046	4.221359417	0.26
1047	4.21814	0.26
1048	4.208325631	0.26
1049	4.188935588	0.26
1050	4.167231165	0.26
1051	4.140184175	0.26
1052	4.103604706	0.26
1053	4.068217282	0.26
1054	4.041294951	0.26
1055	4.019972353	0.26
1056	3.998733689	0.26
1057	3.96506068	0.26
1058	3.909727941	0.26
1059	3.839041262	0.26
1060	3.76642	0.26
1061	3.702257476	0.26
1062	3.645154369	0.26
1063	3.583794902	0.26
1064	3.514186214	0.26
1065	3.439198835	0.26
1066	3.364964706	0.26
1067	3.303382524	0.26
1068	3.261072255	0.26
1069	3.233308932	0.26
1070	3.212033592	0.26
1071	3.187602843	0.26
1072	3.161489903	0.26
1073	3.14282	0.26
1074	3.13981	0.26
1075	3.15296	0.26
1076	3.17473	0.26
1077	3.20789	0.26
1078	3.25607	0.26
1079	3.31049	0.26
1080	3.36108	0.26
1081	3.404	0.26
1082	3.4418	0.26
1083	3.47907	0.26
1084	3.51136	0.26
1085	3.52898	0.26
1086	3.53847	0.26
1087	3.55079	0.26
1088	3.56135	0.26
1089	3.57246	0.26
1090	3.58637	0.26
1091	3.60154	0.26
1092	3.62029	0.26
1093	3.64609	0.26
1094	3.68154	0.26
1095	3.71543	0.26
1096	3.73678	0.26
1097	3.7555	0.26
1098	3.78004	0.26
1099	3.80177	0.26
1100	3.82979	0.26
1101	3.85586	0.26
1102	3.88524	0.26
1103	3.9163	0.26
1104	3.93847	0.26
1105	3.95118	0.26
1106	3.95173	0.26
1107	3.94531	0.26
1108	3.93602	0.26
1109	3.92348	0.26
1110	3.90063	0.26
1111	3.85775	0.26
1112	3.79167	0.26
1113	3.73284	0.26
1114	3.69244	0.26
1115	3.66591	0.26
1116	3.64692	0.26
1117	3.63259	0.26
1118	3.6308	0.26
1119	3.6446	0.26
1120	3.67099	0.26
1121	3.71213	0.26
1122	3.7588	0.26
1123	3.80236	0.26
1124	3.84177	0.26
1125	3.88864	0.26
1126	3.94322	0.26
1127	4.00542	0.26
1128	4.06563	0.26
1129	4.11337	0.26
1130	4.15148	0.26
1131	4.19476	0.26
1132	4.23496	0.26
1133	4.25444	0.26
1134	4.241873962	0.26
1135	4.210516792	0.26
1136	4.178732264	0.26
1137	4.134033585	0.26
1138	4.074725794	0.26
1139	4.008888396	0.26
1140	3.94092283	0.26
1141	3.875967925	0.26
1142	3.824558868	0.26
1143	3.799497075	0.26
1144	3.801134717	0.26
1145	3.808282264	0.26
1146	3.798065849	0.26
1147	3.772453113	0.26
1148	3.744038879	0.26
1149	3.717579623	0.26
1150	3.704559245	0.26
1151	3.703021509	0.26
1152	3.683198491	0.26
1153	3.64409566	0.26
1154	3.602428113	0.26
1155	3.569825283	0.26
1156	3.544391321	0.26
1157	3.519476415	0.26
1158	3.493536792	0.26
1159	3.471855794	0.26
1160	3.456365377	0.26
1161	3.444639717	0.26
1162	3.433919434	0.26
1163	3.42182934	0.26
1164	3.41122934	0.26
1165	3.407676038	0.26
1166	3.40354934	0.26
1167	3.397936604	0.26
1168	3.398068679	0.26
1169	3.391963458	0.26
1170	3.385108113	0.26
1171	3.390411509	0.26
1172	3.410315283	0.26
1173	3.432771509	0.26
1174	3.451263962	0.26
1175	3.468393962	0.26
1176	3.481946415	0.26
1177	3.485620943	0.26
1178	3.480218679	0.26
1179	3.476216729	0.26
1180	3.482658679	0.26
1181	3.495186981	0.26
1182	3.502146321	0.26
1183	3.510290094	0.26
1184	3.52340566	0.26
1185	3.531846887	0.26
1186	3.533535566	0.26
1187	3.536774717	0.26
1188	3.539264245	0.26
1189	3.543428491	0.26
1190	3.547535607	0.26
1191	3.550843208	0.26
1192	3.556603208	0.26
1193	3.575767736	0.26
1194	3.619416792	0.26
1195	3.69518283	0.26
